from,to,total
Turks and Caicos Islands,Netherlands,6
Turks and Caicos Islands,Mexico,2
Turks and Caicos Islands,Malta,6
Turks and Caicos Islands,Luxembourg,6
Turks and Caicos Islands,Lithuania,6
Turks and Caicos Islands,Latvia,6
Turks and Caicos Islands,"Korea, Republic of",2
Turks and Caicos Islands,Italy,6
Turks and Caicos Islands,Ireland,6
Turks and Caicos Islands,India,2
Turks and Caicos Islands,Iceland,2
Turks and Caicos Islands,Hungary,6
Turks and Caicos Islands,Greece,4
Turks and Caicos Islands,Gibraltar,4
Turks and Caicos Islands,Germany,6
Turks and Caicos Islands,France,6
Turks and Caicos Islands,Finland,6
Turks and Caicos Islands,Faroe Islands,2
Turks and Caicos Islands,Estonia,6
Turks and Caicos Islands,Denmark,6
Turks and Caicos Islands,Czech Republic,6
Turks and Caicos Islands,Cyprus,4
Turks and Caicos Islands,Croatia,3
Turks and Caicos Islands,Bulgaria,5
Turks and Caicos Islands,Belgium,6
Turks and Caicos Islands,Austria,4
Turks and Caicos Islands,Argentina,2
Ukraine,United States,2
United Arab Emirates,United States,2
United Kingdom,"Virgin Islands, British",7
United Kingdom,United States,4
United Kingdom,Switzerland,2
United Kingdom,Sweden,9
United Kingdom,Spain,9
United Kingdom,South Africa,2
United Kingdom,Slovenia,9
United Kingdom,Slovakia,9
United Kingdom,Seychelles,2
United Kingdom,San Marino,2
United Kingdom,Romania,9
United Kingdom,Portugal,9
United Kingdom,Poland,9
United Kingdom,Norway,2
United Kingdom,Netherlands,9
United Kingdom,Montserrat,7
United Kingdom,Monaco,2
United Kingdom,Mexico,2
United Kingdom,Malta,9
United Kingdom,Luxembourg,9
United Kingdom,Lithuania,9
United Kingdom,Liechtenstein,2
United Kingdom,Latvia,9
United Kingdom,"Korea, Republic of",2
United Kingdom,Jersey,11
United Kingdom,Italy,9
United Kingdom,Isle of Man,9
United Kingdom,Ireland,9
United Kingdom,India,2
United Kingdom,Iceland,2
United Kingdom,Hungary,9
United Kingdom,Guernsey,11
United Kingdom,Greece,9
United Kingdom,Gibraltar,13
United Kingdom,Germany,9
United Kingdom,France,9
United Kingdom,Finland,9
United Kingdom,Faroe Islands,2
United Kingdom,Estonia,9
United Kingdom,Denmark,9
United Kingdom,Czech Republic,9
United Kingdom,Cyprus,9
United Kingdom,Curacao,7
United Kingdom,Croatia,5
United Kingdom,Bulgaria,9
United Kingdom,"Bonaire, Sint Eustatius and Saba",2
United Kingdom,Belgium,9
United Kingdom,Austria,9
United Kingdom,Aruba,7
United Kingdom,Argentina,2
United Kingdom,Andorra,2
United States,United Kingdom,4
United States,Turkey,2
United States,Trinidad and Tobago,2
United States,Thailand,2
United States,Sweden,3
United States,Spain,5
United States,South Africa,4
United States,Slovenia,4
United States,Slovakia,3
United States,Saint Lucia,2
United States,Romania,3
United States,Portugal,2
United States,Poland,3
United States,Philippines,2
United States,Panama,2
United States,Norway,4
United States,New Zealand,4
United States,Netherlands,3
United States,Mexico,4
United States,Mauritius,4
United States,Malta,4
United States,Luxembourg,3
United States,Lithuania,4
United States,Liechtenstein,3
United States,Latvia,4
United States,"Korea, Republic of",2
United States,Jersey,3
United States,Jamaica,3
United States,Italy,3
United States,Israel,2
United States,Isle of Man,3
United States,Ireland,4
United States,India,3
United States,Iceland,3
United States,Hungary,4
United States,Honduras,3
United States,Guyana,2
United States,Guernsey,3
United States,Gibraltar,3
United States,Germany,5
United States,France,4
United States,Finland,3
United States,Estonia,4
United States,Dominican Republic,2
United States,Denmark,3
United States,Czech Republic,4
United States,Cyprus,3
United States,Curacao,2
United States,Croatia,2
United States,Costa Rica,2
United States,Colombia,3
United States,Canada,4
United States,Brazil,3
United States,Belgium,2
United States,Barbados,3
United States,Azerbaijan,3
United States,Australia,4
Uzbekistan,United States,2
Viet Nam,United States,2
"Virgin Islands, British",United States,3
"Virgin Islands, British",United Kingdom,9
"Virgin Islands, British",Sweden,7
"Virgin Islands, British",Spain,7
"Virgin Islands, British",South Africa,2
"Virgin Islands, British",Slovenia,7
"Virgin Islands, British",Slovakia,7
"Virgin Islands, British",Seychelles,2
"Virgin Islands, British",San Marino,2
"Virgin Islands, British",Romania,5
"Virgin Islands, British",Portugal,5
"Virgin Islands, British",Poland,5
"Virgin Islands, British",Norway,2
"Virgin Islands, British",Netherlands,7
"Virgin Islands, British",Mexico,2
"Virgin Islands, British",Malta,7
"Virgin Islands, British",Luxembourg,7
"Virgin Islands, British",Lithuania,7
"Virgin Islands, British",Latvia,7
"Virgin Islands, British","Korea, Republic of",2
"Virgin Islands, British",Italy,7
"Virgin Islands, British",Ireland,7
"Virgin Islands, British",India,2
"Virgin Islands, British",Iceland,2
"Virgin Islands, British",Hungary,7
"Virgin Islands, British",Greece,5
"Virgin Islands, British",Gibraltar,5
"Virgin Islands, British",Germany,7
"Virgin Islands, British",France,7
"Virgin Islands, British",Finland,7
"Virgin Islands, British",Faroe Islands,2
"Virgin Islands, British",Estonia,7
"Virgin Islands, British",Denmark,7
"Virgin Islands, British",Czech Republic,7
"Virgin Islands, British",Cyprus,5
"Virgin Islands, British",Croatia,3
"Virgin Islands, British",Bulgaria,7
"Virgin Islands, British",Belgium,7
"Virgin Islands, British",Austria,5
"Virgin Islands, British",Argentina,2
